row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
93,561.28,1566,0,0,0,0,373785.2266,1300661.844,0,104327047.8,4602885.84,183821.6289,0,0,0,0
94,563.296,1291,67070302.13,0,0,0,0,0,0,1975562.5,31625.60742,170314273.7,8940636.965,10201220.78,2744461.127,5524503.326
95,563.296,1406,127894501.1,0,0,0,0,136431.7891,164163792.4,809142885.3,205028794.6,30059979.81,8188185.242,11001292.8,5885640.68,10560217.1
96,567.332,1609,46498472,0,0,0,0,0,4768538.211,345685995.2,50882044.25,11330347.42,1864065.752,3030865.621,2502017.523,2961594.965
97,569.345,1706,13735075.8,0,0,0,0,0,29482447.63,129854503.5,2467020.945,2797197.551,410995.9727,886405.3555,826507.0977,712173.1875
98,571.254,944,17280699.7,0,0,0,0,0,330555.4121,377735104.5,66579272.63,2063738.346,624389.7031,880381.5234,945284.373,103034.1719
99,571.255,559,16614281.41,0,0,0,0,0,0,231392.4258,0,39093745.38,1524140.092,1989009.02,953069.0938,306766.1992
100,571.301,1719,71176254.94,0,0,0,0,0,0,161791.3242,161720571.5,98391281.5,4331945.992,9589433.008,10461550.55,5496693.859
101,571.301,1482,27556202.25,0,0,0,0,0,0,0,67334222.75,27196640.13,546102.4785,1070672.551,2544832.438,580200.2891
102,573.319,1598,13583604.48,0,0,0,32892.07031,0,0,0,143688530.9,13809991.22,323862.1543,520714.7051,1195469.994,0
103,573.319,1808,28906433.7,0,0,0,0,0,0,58307.22266,96171029.56,35942288.7,1016073.742,2828233.404,2982922.051,1322716.523
104,575.284,1094,7887871.117,0,0,0,0,0,50843267.13,1768865.285,179521.1875,0,0,266385.7207,0,0
105,575.295,1480,2488641.051,0,0,0,0,0,0,1674243.16,55128550.75,652142.2891,341279.9199,86097.30078,0,0
106,577.265,730,152147372.8,0,0,0,0,0,0,1352068.652,0,100222434.9,880182753.9,520850847.1,76149783.31,9876529.217
107,577.265,644,13806103.67,0,0,0,0,0,0,0,0,23526.20703,187990273.6,16942763.48,3015247.465,181806.9805
108,577.265,998,72172103.38,0,0,0,0,0,0,3228252.516,6957936.66,118512386,5207644.48,9065837.313,1721593.166,2217003.141
109,577.297,1627,979356.1133,0,0,0,0,0,0,0,0,0,3461362.723,3307017.648,104825759.9,601557.3359
110,577.297,1548,430823.8906,0,0,0,0,0,0,0,0,0,0,30373.66602,75474891.06,4160923.258
111,577.795,1549,292580.082,0,0,0,0,0,0,0,0,0,0,0,54527295.5,3170186.285
112,581.274,1139,114098241.2,0,0,0,0,23721692.41,506926733.1,16727803.75,4790014.355,1058086.959,3238231.992,6616577.531,1541047.223,2013986.287
113,587.249,904,18073178.51,0,0,0,0,0,0,1037870.492,393669468.1,2894459.135,1031051.195,1252737.813,199842.9141,194950.8359
114,589.311,1607,302412628.8,0,2098348.432,0,0,57266.2168,357182455.3,1029568478,501023719.8,60225722.13,16925238.2,39543399.29,35068036,22750183.98
115,589.311,1520,196564804.5,26763.39453,171854.2949,0,0,34220.13281,7079959.332,92407611.88,1348903.484,375324484,17111247.71,37418801.75,39304814.13,8221655.758
116,589.391,1410,29925235.63,60905520.75,33617205.06,30467722.94,27968189.69,16606572.53,18872177.66,24587175.94,23271381.31,22451289.53,20767701.39,17764475.93,13450913.3,21439531.56
117,590.317,1607,108203877.3,0,621402.7461,0,0,0,110142034.3,315096982.5,184607263.3,26090537.54,6387011.32,14179925.5,17238724.07,8453606.723
118,591.326,1707,92610166,0,0,0,373459.6543,1832174.465,242140855.1,436244068.6,16715638.95,18096736.77,4044944.031,8139603.598,11359271.23,5721817.887
119,591.326,1854,1906723.281,0,0,0,64249892.63,3338420.547,422730.9512,325349.2773,0,0,0,28073.10352,0,0
120,591.326,1626,60567642.75,0,0,0,0,0,2789038.129,1725612.102,112448.457,110699187.9,5070685.938,6047462.348,4515631.055,3929568.75
121,595.252,1142,52574154,0,0,0,0,6377907.379,223613662.4,229678335.5,6059217.57,712097.6875,1188116.352,2209774.635,672283.5117,863240.4512
122,595.252,742,1537241.418,0,0,0,0,80732.87891,0,33749010.38,12060876.84,91665.9375,92147.19727,139265.7227,1090737.57,35227.70703
